UserId,Department/Region,Emplovment and economic policies for youthSkills and Employability,"Employability  Education, training and skills, and the school-to-work transition",Labour market policies,Youth entrepreneurship and self-employment,Rights for young people,Other,Other (elaborated answ),year
USR-202506-0044,Region: Africa,,YES,,,,,,2024
USR-202506-0044,Region: Africa,,,,,,,,2024
USR-202506-0044,Region: Africa,,,,,,,,2024
USR-202506-0044,Region: Africa,,,,,,,,2024
USR-202506-0044,Region: Africa,,,,,,,,2024
USR-202506-0001,Region: Asia and the Pacific,YES,YES,YES,YES,,,,2024
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0002,Statistics,,,,,,YES,Statistics on youth employment,2024
USR-202506-0003,Region: Asia and the Pacific,,YES,,YES,YES,,,2024
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,YES,YES,YES,YES,YES,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0005,Region: Arab States,YES,YES,,YES,,,,2024
USR-202506-0006,Region: Arab States,,YES,YES,YES,YES,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,YES,YES,YES,YES,YES,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,2024
USR-202506-0009,Region: Africa,YES,YES,YES,YES,,,,2024
USR-202506-0009,Region: Africa,,,,,,,,2024
USR-202506-0009,Region: Africa,,,,,,,,2024
USR-202506-0011,Research and Publications,,,,,,YES,Reporting on Trends,2024
USR-202506-0012,International Training Centre of the ILO,,YES,YES,YES,YES,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2024
