UserId,Department/Region,Output/initiative/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,"Geographical focus (Global, Regional  or National/local)",Specify name of the Region/country,"Type of partnership
(Options: UN interagency initiative; or multistakeholder initiative; or bilateral partnership; or event; or campaign; or challenge)",New or long-standing,Funding source (Options: regular budget or extrabudgetary),"Focus
 (Options: Youth only or Youth is one of the target groups)",year
USR-202506-0044,Region: Africa,Africa Skills Week and Sectoral Engagement/CTVET Strategy,Output 3.2,,"During Africa Skills Week 2024, organized by the African Union, CTVET Ghana, and the ILO, advocacy sessions promoted quality apprenticeships, green and digital skills, and Sector Skills Bodies. The event catalyzed reforms and regional cooperation.",Regional,Africa,multistakeholder initiative,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0044,Region: Africa,Labour Market Information Taskforce,Output 3.2,,"The Ministry of Employment, Vocational Training, Apprenticeship and Integration established a national Labour Market Information Taskforce with support from the ILO. It includes employer associations, the national employment agency, and TVET institutions.",National/Local,Africa,multistakeholder initiative,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0044,Region: Africa,AUDA-NEPAD – Continental TVET and Youth Engagement,Output 3.2,https://www.ilo.org/sites/default/files/2025-04/TORs%20for%20Youth%20Engagement%20in%20TVET.pdf,"The ILO partnered with the African Union Development Agency (AUDA-NEPAD) to promote youth engagement in TVET through the Africa Skills Revolution Survey and joint initiatives under the Skills Initiative for Africa (SIFA). These efforts aim to align training systems with youth aspirations and market needs, and to strengthen participatory governance in TVET across the continent.",Regional,Africa,multistakeholder initiative,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0044,Region: Africa,Skills Innovation Challenge Calls – Global and Regional Pilots,Output 3.2,https://www.ilo.org/projects-and-partnerships/projects/skills-innovation-facility/skills-innovation-challenge-calls,"The ILO launched multiple Skills Innovation Challenge Calls to support youth-led and community-based innovations in skills development. These calls funded pilot projects in countries like India, South Africa, Bangladesh, and C?te d’Ivoire, focusing on digital apprenticeships, green skills, and informal sector inclusion.",National/Local,Africa,challenge,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0044,Region: Africa,SASASNET – Sub-Saharan African Skills and Apprenticeship Stakeholders Network,Output 3.2,https://www.ilo.org/resource/news/ilo-strengthens-capacities-sub-saharan-african-skills-and-apprenticeship,"The ILO supported the launch and capacity-building of SASASNET, a regional network of TVET and apprenticeship stakeholders from over 20 African countries. A regional workshop in Accra, Ghana, trained policymakers, regulators, and practitioners on Recognition of Prior Learning (RPL) and Sector Skills Bodies (SSBs).",Regional,Africa,multistakeholder initiative,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0044,Region: Africa,Skills Bridge webinar series,Output 3.2,,"Over 9,000 participants engaged in 9 thematic webinars focused on digital transformation, apprenticeships, green skills, and resilience. These events promoted South-South and peer learning between institutions and countries.",Regional,Africa,event,,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0044,Region: Africa,Africa Skills Week,Output 3.2,https://www.ilo.org/resource/news/ilos-commitment-skills-development-africa-skills-week-2024,"Organized by the African Union (AU), the Commission for Technical and Vocational Education and Training of Ghana (CTVET), the ILO, and other international partners, this regional forum brought together over 300 participants from 36 countries. The ILO organized side events and contributed to discussions on quality apprenticeships, Sector Skills Bodies (SSBs), skills for green and digital transformations in TVET, skills in fragile settings. ",Regional,Africa,event,,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0001,Region: Asia and the Pacific,Empower Youth in the Era of AI' Thematic Forum on Digital Development of the 2024 World Youth Development Forum,CHN 252,https://www.ilo.org/resource/news/%E2%80%98empower-youth-era-ai%E2%80%99-thematic-forum-digital-development-2024-world-youth,"On 15 August 2024, the Thematic Forum on Digital Development of the 2024 World Youth Development Forum (WYDF) was successfully held in Chongqing, China. The Forum was co-hosted by All-China Youth Federation (ACYF) and the ILO. It gathered over 200 international and national experts and youth leaders to discuss the transformative power of digital development, with special attention to skilling and industrial development in the era of Artificial Intelligence (AI).",Global,Global,event,Long-standing,extrabudgetary,Youth only,2024
USR-202506-0001,Region: Asia and the Pacific,Partnership with Hangzhou city Disabled Persons Federation  to promote inclusive employment for people with disabilities and the pratice now extends to Wenzhou city,??,"https://www.ilo.org/projects-and-partnerships/projects/enhancing-rights-based-disability-inclusive-sustainable-development-china
https://www.ilo.org/resource/news/joint-commitment-inclusive-employment-people-disabilities
","Develop the Inclusive Employment Index??a tool designed to guide companies in creating more inclusive workplaces??and establish an Inclusive Employment Company Alliance to share best practices and strengthen policy implementation, promoting inclusive employment for people with disabilities.",National/Local,Asia and the Pacific,multistakeholder initiative,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,2024
