UserId,Department/Region,Initiative/output's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,Flagship or periodic (Y/N)?,"Type of publication (Options: Evaluation, or Guidance/tools, or Technical Report, or Working paper, or Data/Database) ",New or Produced regularly,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),year
USR-202506-0044,Region: Africa,,,,,,,,,,2024
USR-202506-0044,Region: Africa,micro-credential case studies,Output 3.2,,offer a global snapshot of how flexible skills recognition can support workers in transition.,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0044,Region: Africa,green TVET curricula ,Output 3.2,,"In Ethiopia, Seven new green TVET curricula in tourism and hospitality were developed, and 117 instructors were trained to mainstream greening into two curricula in tourism and hospitality and construction sectors. A school to work transition training was also rolled out to TVET students, and core skills were mainstreamed into curricula and TVET instructors trained on the new material",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0044,Region: Africa,RPL,Output 3.2,https://www.ilo.org/resource/report/guidelines-costing-and-financing-recognition-prior-learning,"A study visit to Zanzibar on Recognition of Prior Learning (RPL) inspired Ethiopia to develop its own RPL pilot. Subsequently, the Recognition of Prior Learning (RPL) Programme was launched in September 2024, and operational manuals and guides established to train counsellors and assessors. The Zanzibar RPL tour helped Ethiopia and Malawi design national RPL frameworks that were later institutionalized",No,Guidance/tools,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0044,Region: Africa,,,,,,,,,,2024
USR-202506-0001,Region: Asia and the Pacific,Guide on Core Skills for the Green Transition - Student Book,CHN 252,,"The Guide,developed under 'Quality Apprenticeship and Lifelong Learning in China Project Phase 2', is a pioneering tool to introduce TVET students fundamental transferable skills for the green transition, including green literacy, green thinking and green production and services.",No,Guidance/Tools,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0001,Region: Asia and the Pacific,"Situation Analysis of
 Youth Development in China",CHN 251,,"The research report is co-led by UNFPA, UNICEF and ILO as a guiding document for UN China Youth Theme Group",No,Technical Report,New,extrabudgetary,Youth only,2024
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0002,Statistics,Outcome A,,https://rplumber.ilo.org/data/indicator/?id=EMP_5EMP_SEX_STE_NB_A&timefrom=2019&timeto=2023&type=label&format=.csv,Dissemination of Statistics aligned with ICSE-18,No,Data/Database,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0003,Region: Asia and the Pacific,"Trends in child labour in Myanmar 2021-24. A study of Mon, Kayin, Kayah and Shan States",MMR101,https://www.ilo.org/publications/trends-child-labour-myanmar-2021-24-study-mon-kayin-kayah-and-shan-states,"This study assesses child labour in Myanmar's Mon, Kayin, Kayah (Karenni), and Shan States, highlighting key trends, causes, and developments. Based on early 2024 interviews and focus groups, it examines economic, cultural, and systemic drivers, supported by case studies. The findings inform key stakeholders on viable strategies for sustainable child labour reduction.",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
