UserId,Department/Region,Initiative/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,Country or Region,New or long-standing,Funding source (Options: regular budget or extrabudgetary),DC code if applicable,"Focus 
(Options: Youth only or Youth is one of the target groups)",Is it part of a UN Joint Programme (Yes or No),year
USR-202506-0044,Region: Africa,Ethiopian Education and Training Qualification Framework,Output 3.2,,"With the ILO support, Ethiopia revised its national Education and Training Policy and adopted the Ethiopian Education and Training Qualification Framework (EETQF), creating a more coherent and competency-based system. The TVET Proclamation was also reviewed and submitted to Parliament.
The purpose was to modernize the skills system and align it with labour market needs.",Africa,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0044,Region: Africa,National TVET Policy aligned with Malawi Vision 2063,Output 3.2,,Guide future investments and reforms in the TVET sector.,Africa,New,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0044,Region: Africa,RPL guidelines for dual apprenticeship systems,Output 3.2,,Developed national standards and protocols for Recognition of Prior Learning (RPL) and formalized guidelines for dual apprenticeship systems.,Africa,New,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0044,Region: Africa,Development of Green and Digital Curricula,Output 3.2,,"Promote environmental sustainability and prepare youth for green jobs, expand access to flexible, technology-enhanced learning.",Africa,New,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0044,Region: Africa,Creation of Sector Skills Bodies (SSBs),Output 3.2,,"Ensure training aligns with market demands and sector growth, strengthen industry participation in skills development",Africa,New,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0044,Region: Africa,,,,,,,,,,,2024
USR-202506-0044,Region: Africa,,,,,,,,,,,2024
USR-202506-0001,Region: Asia and the Pacific,Quality Apprenticeship and Lifelong Learning in China Project Phase 2,CHN 252,https://www.ilo.org/projects-and-partnerships/projects/quality-apprenticeship-and-lifelong-learning-china-%E2%80%93-phase-2,"The project focuses on advancing quality apprenticeship, core skills, skills for the green transition and skill anticipation and matching. The project aims to promote young and adult workers’ employability, reduce job-skill mismatch in the labour market in China, and enhance international exchanges on apprenticeships and lifelong learning.",Asia and the Pacific,Long-standing,extrabudgetary,CHN/22/01/JPM,Youth are one of the target groups,No,2024
USR-202506-0001,Region: Asia and the Pacific,2024 G20 Entrepreneurship Roundtable,CHN 251,https://www.sem.tsinghua.edu.cn/en/info/1021/8848.htm,"The ILO provided technical support to the 2024 G20 Entrepreneurship Roundtable organized by the Entrepreneurship Research Center on G20 Economies, providing insights on global youth employment trends ",Asia and the Pacific,Long-standing,Regular Budget,,Youth are one of the target groups,No,2024
USR-202506-0001,Region: Asia and the Pacific,Empowering PLHIV with digital skills and on-line enterpreneurship skills in the digital era,CHN 252,https://www.ilo.org/projects-and-partnerships/projects/accelerating-progress-hiv-and-aids-and-ending-inequalities-world-work-0,"The ILO supports the Women's Network Against AIDS China by coordinating experts and organizing training workshops for targeted people living with HIV (PLHIV) in low-GDP areas, aiming to enhance their skills for the digital era.",Asia and the Pacific,New,extrabudgetary,GLO724/02/UNA,Youth are one of the target groups,Yes,2024
